[INFO][{2021-04-02 16:05:58,713][com.mf.dao.UserMapperTest]info:进入selectUser方法
[DEBUG][{2021-04-02 16:05:58,714][com.mf.dao.UserMapperTest]debug:进入selectUser方法
[ERROR][{2021-04-02 16:05:58,715][com.mf.dao.UserMapperTest]error:进入selectUser方法
[INFO][{2021-04-02 16:06:31,700][com.mf.dao.UserMapperTest]com.mf.dao.UserMapperTest.selectUser(UserMapperTest.java:36)info:进入selectUser方法
[DEBUG][{2021-04-02 16:06:31,703][com.mf.dao.UserMapperTest]com.mf.dao.UserMapperTest.selectUser(UserMapperTest.java:37)debug:进入selectUser方法
[ERROR][{2021-04-02 16:06:31,704][com.mf.dao.UserMapperTest]com.mf.dao.UserMapperTest.selectUser(UserMapperTest.java:38)error:进入selectUser方法
[DEBUG][{2021-04-02 16:30:19,008][org.apache.ibatis.logging.LogFactory]org.apache.ibatis.logging.LogFactory.setImplementation(LogFactory.java:105)Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][{2021-04-02 16:30:19,030][org.apache.ibatis.logging.LogFactory]org.apache.ibatis.logging.LogFactory.setImplementation(LogFactory.java:105)Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG][{2021-04-02 16:30:19,077][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:30:19,078][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:30:19,078][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:30:19,079][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:30:19,246][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.openConnection(JdbcTransaction.java:136)Opening JDBC Connection
[DEBUG][{2021-04-02 16:30:19,702][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.popConnection(PooledDataSource.java:424)Created connection 1660794022.
[DEBUG][{2021-04-02 16:30:19,703][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.setDesiredAutoCommit(JdbcTransaction.java:100)Setting autocommit to false on JDBC Connection [com.mysql.jdbc.JDBC4Connection@62fdb4a6]
[DEBUG][{2021-04-02 16:30:19,710][com.mf.dao.UserMapper.getUserByLimit]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)==>  Preparing: select * from mybatis.tb_user limit ?,? 
[DEBUG][{2021-04-02 16:30:19,758][com.mf.dao.UserMapper.getUserByLimit]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)==> Parameters: 0(Integer), 2(Integer)
[DEBUG][{2021-04-02 16:30:19,797][com.mf.dao.UserMapper.getUserByLimit]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)<==      Total: 2
